Pays,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,99.8,102.3,105.4,108.2,109.3,107.5,106,106.7,106.5,107.9,107.9,107.3,106.62,105,102.9,102.1,105.9,106.6
Albania,68.6,70.5,69.7,70,67.1,66.1,66.1,65.2,63.6,61.9,61.2,60.5,60.08,58.9,58.75,59,56.7,56.8
Algeria,77.8,75.9,77.8,80.6,81.3,78,78.1,78.7,78.8,79.6,78.3,76.8,75.79,75.4,74.58,73.6,72.2,70
Angola,88.3,84.9,83.8,85,83.7,84.6,85.1,87.1,87.4,87.9,90.5,91.1,89.44,87.8,87.32,89,88.1,86.9
Antigua and Barbuda,,65.7,64.1,62.8,60.9,59.9,58.9,58,59,57.8,56.2,54.8,55.61,54.4,52.06,54.9,54.2,53.8
Argentina,40.8,41.4,41.4,44.7,45.8,46.8,46.5,46.1,47.3,47.6,48.4,48.2,46.07,46,46.09,50.1,47.9,46.4
Armenia,71.5,70.3,70.7,74.3,74.1,72.3,72.2,71.3,71.3,69.7,69.6,71,69.55,66.7,64.2,69.8,67,67.5
Australia,22,23.2,24.6,25.9,27.3,28.1,29.2,25.4,26.3,24.3,22.5,22.3,20.77,19.7,19.75,21.8,22.7,22
Austria,26.1,26,25.9,27.6,27.2,27.3,27.5,26.9,28.5,25.8,27.5,27.7,26.18,25,24.11,26.1,25.4,24.4
Azerbaijan,81.9,81.2,81,84.6,84.4,81.9,79.8,78.2,77.8,77.3,76.3,76.3,74.63,73.2,71.28,75.1,73.1,72.7
Bahamas,,60.1,60.5,60.9,58.9,56.5,55.1,54.7,54.1,51.5,51.6,52.4,49.99,48.8,49.87,52.4,50.6,49.2
Bahrain,,57,56.8,59,58.8,59,62.2,62.9,64.7,64.4,63.4,64.9,64.39,63.8,63.89,66.7,66.6,65.1
Bangladesh,96.3,95.9,100.3,98.1,96.1,94.4,92.2,92.5,92.8,91.8,90.7,89.1,90.31,87.7,85.7,85,84.5,85.2
Barbados,,59.9,58.5,57.2,55.4,52.8,52,50.8,51.4,49.3,49,49.6,48.18,48,46.41,47,45.9,45.4
Belarus,84.5,85.2,84.4,82.3,78.7,77.6,76.6,76.7,75,75.6,73.9,72.4,70.54,68.2,65.75,68,68.7,69.9
Belgium,24,25.5,29,33.5,32,34.1,33.5,30.9,32,30.5,29,30.8,29.65,28.6,27.1,31,31.9,31.4
Belize,,69.8,70.2,69.5,68.7,67.7,67.2,67.2,67,65.3,66,65.5,63.71,62.5,60.79,64.2,62.1,59.8
Benin,70.9,72,72.8,75.5,76.8,80,78.6,77.9,78.2,78.8,78.9,77.6,75.69,73.6,72.54,72.8,72.5,73.3
Bhutan,87.9,86.4,85.4,87.3,87.3,85,82.4,81.8,80.9,78.7,77.6,76,74.27,72,69.51,68.3,67.4,66.4
Bolivia,82.9,82,84.2,86.3,84.9,82.9,82.1,80.8,78.9,78.1,78.5,76.8,75.22,72.9,74.97,74.9,73.4,70.7
Bosnia and Herzegovina,88.5,84.5,84.3,83.3,83.5,80.9,77.9,76.5,75.9,77.4,74.6,73,71.34,71.3,70.22,72.9,73,72.3
Botswana,66.9,66.4,65.9,68.8,68.6,67.9,66.5,64,64.5,62.8,63.5,63.8,61.99,59.5,57.07,57,56.1,55.3
Brazil,63.1,66.9,67.6,69.1,67.4,65.1,64.1,62.1,61.4,62.7,65.3,68.2,68.71,71.8,72.99,75.8,73.9,74.5
Brunei Darussalam,,71.2,68.5,68.1,67.6,65.8,64.1,63.2,63.6,63,62,61.6,59.81,57.5,56.6,56.3,55.1,54.7
Bulgaria,62.1,60.3,58.5,61.5,61.2,59,56.3,55,54.4,55.4,53.7,53.7,51.65,50.6,49.17,51.6,51.6,51.8
Burkina Faso,89.7,89.7,89.9,91.3,90.7,88.6,87.4,90.2,89,89.2,89.4,88,86.52,83.9,85.93,87.1,90.5,94
Burundi,96.7,95.2,94.1,95.7,96.7,98.6,97.5,97.6,97.1,98,100.7,98.9,97.36,98.2,97.88,97.1,95.4,94.2
Cabo Verde,,,,,,,,,,,,,,,,64.2,61.4,
Cambodia,85,85.7,85.8,87.3,88.7,88.5,88.7,88,88.5,87.9,87.4,85.7,84.05,82.5,80.31,80.6,80.5,80.3
Cameroon,88.4,89.4,91.2,95.3,95.4,94.6,93.1,93.5,93.1,94.3,97.8,95.6,95.31,97,97.86,97.2,96,94
Canada,23.1,25.1,26.3,27.7,27.9,27.7,26.8,26,27.4,25.6,23.8,22.6,21.51,20,18.67,21.7,20.1,18.9
Cape Verde,,81.1,80.7,78.5,77.2,75.8,74.7,73.7,74.1,73.5,71.5,70.1,68,66.6,64.78,,,60.1
Central African Republic,97.5,101,103.7,105.4,106.4,105,103.8,105.3,110.6,111.9,112.1,112.6,111.13,108.9,107.49,107,108.1,105.7
Chad,105.9,108.8,110.9,112.2,113.3,110.3,107.6,109,108.7,108.4,110.1,109.4,108.31,108.5,106.43,105.8,105.7,104.6
Chile,32,33.8,36.3,37.5,38,40.7,43.5,42.3,42,41.5,41.9,41.1,40.69,38.9,42.51,44.1,43.2,42.2
China,82.5,81.2,80.3,84.6,83,80.1,78.3,80.9,79,76.5,74.9,74.7,72.4,71.1,69.86,68.9,66.9,65.1
Colombia,91.8,89.7,89,89.2,88.2,87,84.4,83.8,83.1,82.5,80.2,78.9,76.63,75.7,76.61,79.3,78.4,78.1
Comoros,,77.8,79.6,86.3,85.1,83.8,83,84,85.1,83.3,83.8,84.8,82.62,81.7,81.25,82.5,82.3,82.2
Congo Democratic Republic,110.1,105.5,106.7,108.7,109.9,108.2,111.2,111.9,110.2,109.7,110,110,110.67,110.2,109.39,108.4,107.3,107.2
Congo Republic,,93,93.4,93.1,92.5,91.4,90.1,90,89.6,90.8,92.2,93.4,93.13,92.5,92.07,92.4,92.2,90.7
Costa Rica,49.6,50.5,50.9,52.5,52,50.6,49.7,48.7,48.5,46.8,45.1,44.1,43.24,42,40.18,42.5,41,40.4
Cote d'Ivoire,109.2,107.3,104.6,102.5,101.2,102.8,103.6,103.5,101.7,100.1,97.9,96.5,94.56,92.1,89.72,90.7,,87.1
Côte d'Ivoire,,,,,,,,,,,,,,,,,89.6,
Croatia,61.9,60.5,59.4,60.1,59,57.3,56.3,54.1,52.9,51,52.4,50.6,48.72,47.5,46.09,49.8,49.3,48.7
Cuba,81.9,78.6,78.6,80.6,79.4,76.6,73.1,72.8,70.8,67.4,66.3,64.6,62.89,60.8,59.23,59.5,60.1,59.5
Cyprus,70.5,70.2,69.7,68.9,68,67.6,66.8,67,67.9,66.2,64,62.6,60.29,57.8,56.06,57.4,56.9,57
Czech Republic,41.8,42.1,42.1,42.6,41.5,42.4,39.5,39.9,39.4,37.4,40.8,40.1,39.05,,35.74,,,40.2
Czechia,,,,,,,,,,,,,,37.6,,39.3,39.9,
Denmark,24.8,22.2,21.5,23.2,22.9,23.8,23,21.9,22.8,21.4,21.5,21.5,19.79,19.5,17.21,18.8,18.1,17.9
Djibouti,,80.3,80,80.6,81.9,82.6,83.8,85.5,87.1,88,89.7,88.9,87.11,85.1,82.73,82.4,81.3,82.2
Dominican Republic,85,80.6,78.4,77.7,76.8,76.9,74.1,73.2,73.4,71.2,70.8,69,69.2,66.2,64.36,64.7,62.8,60.8
Ecuador,81.2,79.9,80.3,81.2,81.7,82.2,80.1,78.6,77.3,75.9,75.6,77.3,74.23,71.2,69.4,71.2,69.1,69.4
Egypt,89.5,89.2,88.7,89,87.6,86.8,90.4,90.6,91,89.9,90.2,89.8,88.74,88.4,86.01,85,83.6,81.6
El Salvador,76.1,74.9,75.5,77.2,78.1,76,74.4,73.2,72,71.4,72.5,73.1,71.16,69.8,68.89,71.6,70.8,69.3
Equatorial Guinea,84,88.2,88,88.3,88.5,88.1,86.3,86.1,85.3,84.8,85.2,85,83.4,82.6,83.02,84.1,84.1,84.4
Eritrea,83.9,85.5,87.4,90.3,93.3,93.6,94.5,95,95.5,96.9,98.6,98.1,97.21,96.4,95.84,97,95.9,94.5
Estonia,51,50.5,51,51.2,50.7,49.3,47.5,45.3,45.2,43.7,43.4,44.7,42.99,40.8,38.52,39.5,37.7,38.6
Eswatini,,,,,,,,,,,,,,85.3,,82.5,,
Ethiopia,91.9,95.3,96.1,98.9,98.8,98.2,97.9,98.9,97.9,97.5,97.2,101.1,99.57,94.2,94.6,99,99.3,100.4
Fiji,,75.7,76.6,78.8,80.5,81.1,80.5,80.8,79,76.7,76.2,76.9,74.52,71.7,69.85,70.4,68.9,70.2
Finland,18.2,18.5,18.4,19.2,19.3,19.7,20,18,18.7,17.7,18.8,18.7,17.93,16.9,14.63,16.2,15.1,16
France,34.3,34.1,34.8,35.3,34.9,34,33.6,32.6,34.8,33.7,34.5,33.5,32.23,32,30.48,32.5,30.9,28.8
Gabon,73.6,73.3,75,74.4,75.3,75.3,74.6,72.9,72.2,71.2,72,73.8,72.48,70.5,69.09,67.4,66.7,65.5
Gambia,74,76,76.9,79,80.2,80.9,80.6,81.8,83.1,85.4,86.8,89.4,87.06,83.9,82.21,80.5,78.6,76.1
Georgia,82.2,82.3,83.8,91.8,90.4,86.4,84.8,84.2,82.7,79.2,78.9,76.5,74,72,71.15,72.6,71.8,71.9
Germany,39.7,38.4,37.3,36.2,35.4,33.9,31.7,29.7,30.6,28.1,28.6,28.1,25.83,24.7,23.19,24.8,23.6,24.6
Ghana,60.5,61.9,64.6,66.2,67.1,67.7,67.5,69.1,70.7,71.8,71.2,69.7,68.12,65.9,64.16,63.9,63,62.3
Greece,41.1,43.5,45.4,46.1,45.9,47.4,50.4,50.6,52.1,52.6,55.9,57.5,55.28,53.9,52.15,54.5,55.8,55.1
Grenada,,71.6,69,67.9,67,66.4,65,64.6,65.2,63.5,63,61.5,59.9,57.6,55.25,56.1,54.3,53.7
Guatemala,84.3,81.4,80.6,80.6,81.2,80.1,79.4,80.7,80.3,80.4,83.2,83.1,81.84,81.4,79.18,79.4,77.5,77.3
Guinea,99,101.3,101.8,104.6,105,102.5,101.9,101.3,102.7,104.9,103.8,102.4,101.62,99.4,97.17,97.4,99.6,98.5
Guinea Bissau,85.4,88.8,91.3,94.8,97.2,98.3,99.2,101.1,100.6,99.9,99.8,99.5,98.09,95.5,92.9,92,91.3,89.9
Guyana,,73.3,72.2,73,73,72.6,71.4,70.8,71,70.5,70.9,71.3,70.36,68.2,65.95,66.1,64.2,61.6
Haiti,104.6,100.9,99.3,101.8,101.6,108,104.9,105.8,104.3,104.5,105.1,105.3,101.97,99.3,97.68,97.5,99.7,102.9
Honduras,76.7,74.8,74.9,77.2,80,78.3,78.5,78.3,77.9,78.1,79.8,79.1,77.26,77.8,76.79,79.4,78.7,79.6
Hungary,46.7,51.2,50.9,50.7,50.1,48.7,48.3,47.6,48.3,49.1,52.7,52,50.2,49.6,47.62,51.1,50.8,48.8
Iceland,,21.1,20.9,29,29.8,30.1,29.1,24.7,25.9,23.4,22.8,22.5,20.3,19.8,17.8,18,17.1,15.7
India,70.4,70.8,72.9,77.8,79.2,79.3,78,77.5,76.9,79.3,79.6,77.9,76.31,74.4,75.31,77,75.3,74.1
Indonesia,89.2,84.4,83.3,84.1,83.1,81.6,80.6,78.2,76.8,75,74.9,72.9,72.3,70.4,67.85,67.6,66.6,65.6
Iran,84,82.8,85.7,90,92.2,90.2,89.6,89.7,87.2,87.1,86.9,85.8,84.27,83,83.39,84.5,84.1,85.4
Iraq,109,111.4,110.6,108.6,107.3,104.8,104.3,103.9,102.2,104.4,104.7,105.4,102.21,99.1,95.94,96.2,93.8,91.4
Ireland,18.6,19.5,19.9,21.6,22.4,25.3,26.5,24.8,26.1,24.6,22.5,22.3,20.74,20.6,19.94,22.2,20.8,19.5
Israel,,,,,,,,,,,,,,,,43,42.6,44.1
Israel and West Bank,79.4,79.6,83.6,84.6,84.6,84.4,82.2,80.8,79.5,79.4,79.7,78.9,78.53,76.5,75.12,,,
